idx,success,timestep,world_x_mean,world_x_std,world_y_mean,world_y_std,world_z_mean,world_z_std,rot_x_mean,rot_x_std,rot_y_mean,rot_y_std,rot_z_mean,rot_z_std,open_gripper_mean,open_gripper_std
0,0,0,-0.020986462622449378,0.011190428681809323,0.008849647354156442,0.020966668530411244,-0.05029138003761711,0.03175930508474939,0.027751775423483453,0.04419692566211302,0.032953061178313967,0.03448938930959585,-0.0166153167442556,0.057292926295453496,0.7521157861708331,0.199872426091167
1,0,1,-0.01955284649001745,0.012098955612575934,0.008472516518469836,0.016806785953363882,-0.04656277593756165,0.032083310060520336,0.026773790915313206,0.03882076757672376,0.03553123450241401,0.036487952331283664,-0.018149278595594683,0.04591030237253765,0.6371931711840167,0.2639550565684902
2,0,2,-0.019365601416864206,0.01389063004008318,0.009051281038727294,0.014145084748389887,-0.0514000566150538,0.033564696886686625,0.025519202369067705,0.03197258693984869,0.03996303963913251,0.049117874225985694,-0.018252451222822194,0.04634342070390704,0.606218029247037,0.364023766628206
3,0,3,-0.024774772692581985,0.017459820799958222,0.008464865520760544,0.01059748282076026,-0.053142712367081194,0.03996173998743429,0.02271230808388668,0.02219458267440768,0.04613037070540789,0.06188539080639093,-0.029176568526474343,0.051145941734319376,0.6653030002305842,0.31942975592177114
4,0,4,-0.024173586039048105,0.018528520160213197,0.008921775673886507,0.01024528186336179,-0.056745099718100385,0.039505262170290635,0.025278927566356618,0.02142653990662829,0.047878414062261905,0.06516268979936067,-0.04181003530085559,0.05203960535446368,0.6723536579742969,0.3456739505768958
5,0,5,-0.023596989794300912,0.01847352586374973,0.007140969376676808,0.01055337204670703,-0.06537488737372879,0.03914986778115051,0.027090571936622093,0.022970314636059887,0.0515046859297912,0.06736467385545256,-0.04361765405211785,0.051952099881761166,0.6906681534862005,0.31053566340238836
6,0,6,-0.02343176970810005,0.01807675802243737,0.00984770076034527,0.011042014730341483,-0.06526681550036742,0.03851891788845076,0.03023035201529803,0.022789417794513003,0.04893550186890714,0.0648861700726804,-0.049872666639216315,0.060352459511367446,0.7881496582365094,0.1904398950709408
7,0,7,-0.025032651035673387,0.016633475136141024,0.009750157176207391,0.011065171663371644,-0.06326876327811712,0.034667223631498365,0.027746401914063783,0.019857343443621576,0.05535156561337345,0.05978869284274623,-0.04224372377648637,0.05895521234118189,0.6714592116552607,0.3037951540897431
8,0,8,-0.026085304494477126,0.013716442497183847,0.011925947496303265,0.011383754083643989,-0.06367602309658348,0.03397584491241671,0.02552092886420503,0.020591600108570488,0.05514064623941632,0.05580346595322431,-0.03965502294442779,0.06122046758931016,0.684898198575083,0.28442737952982877
9,0,9,-0.02469227516401037,0.012511785519981156,0.01100506620714441,0.010292452049607626,-0.0682880567445395,0.033908118872000896,0.0305779180225253,0.023165313304463826,0.0548673264441128,0.05191387146055106,-0.038320847090784475,0.06117449289522262,0.723494346017114,0.3074315714963447
10,0,10,-0.020457996377729364,0.012181484576271115,0.013915969090673818,0.010136835551350185,-0.06948925491911007,0.03298126345287468,0.03724347537856154,0.02494811481066728,0.058881147202262195,0.045538688099749036,-0.038873724787422494,0.057486941935743004,0.6975695453228048,0.32145249205459187
11,0,11,-0.02047855025096038,0.012201963441554664,0.012605965380639784,0.010250890024818889,-0.06818677402694118,0.029689090779222466,0.028228493173021087,0.018816786853983514,0.06084420414347374,0.04070843300729022,-0.03586634562418939,0.05415551938940949,0.5730640580319842,0.34447323634439175
